id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s6,Texas,GPRGNN,4,64,0.001,0.0005,500,50,6,0.4167,0.4737,62,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s7,Texas,GPRGNN,4,64,0.001,0.0005,500,50,7,0.6111,0.6579,98,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s8,Texas,GPRGNN,4,64,0.001,0.0005,500,50,8,0.6667,0.5263,106,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s9,Texas,GPRGNN,4,64,0.001,0.0005,500,50,9,0.4722,0.4211,65,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s0,Texas,GPRGNN,4,64,0.001,0.0001,500,50,0,0.5000,0.4737,56,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s1,Texas,GPRGNN,4,64,0.001,0.0001,500,50,1,0.4444,0.3421,55,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s2,Texas,GPRGNN,4,64,0.001,0.0001,500,50,2,0.5833,0.4211,65,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s3,Texas,GPRGNN,4,64,0.001,0.0001,500,50,3,0.3333,0.3158,127,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s4,Texas,GPRGNN,4,64,0.001,0.0001,500,50,4,0.3056,0.3947,61,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s5,Texas,GPRGNN,4,64,0.001,0.0001,500,50,5,0.4167,0.3158,72,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s6,Texas,GPRGNN,4,64,0.001,0.0001,500,50,6,0.4167,0.2895,59,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s7,Texas,GPRGNN,4,64,0.001,0.0001,500,50,7,0.5833,0.6842,110,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s8,Texas,GPRGNN,4,64,0.001,0.0001,500,50,8,0.6944,0.5789,102,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s9,Texas,GPRGNN,4,64,0.001,0.0001,500,50,9,0.3611,0.5789,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s0,Texas,GPRGNN,4,64,0.001,0.0,500,50,0,0.3889,0.3684,67,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s1,Texas,GPRGNN,4,64,0.001,0.0,500,50,1,0.4167,0.5526,59,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s2,Texas,GPRGNN,4,64,0.001,0.0,500,50,2,0.5000,0.5263,115,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s3,Texas,GPRGNN,4,64,0.001,0.0,500,50,3,0.4167,0.5263,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s4,Texas,GPRGNN,4,64,0.001,0.0,500,50,4,0.4722,0.3421,84,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s5,Texas,GPRGNN,4,64,0.001,0.0,500,50,5,0.3889,0.3684,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s6,Texas,GPRGNN,4,64,0.001,0.0,500,50,6,0.4722,0.3947,94,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s7,Texas,GPRGNN,4,64,0.001,0.0,500,50,7,0.6111,0.6579,95,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s8,Texas,GPRGNN,4,64,0.001,0.0,500,50,8,0.6667,0.5526,102,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s9,Texas,GPRGNN,4,64,0.001,0.0,500,50,9,0.4444,0.4211,90,lr_wd_seed_batched
