id,dataset,model,depth,hidden,eps,seed,test_acc
Chameleon_L3_H32_epsna_s0,Chameleon,hfgcn,3,32,na,0,0.3258
Chameleon_L3_H32_epsna_s1,Chameleon,hfgcn,3,32,na,1,0.2472
Chameleon_L3_H32_epsna_s2,Chameleon,hfgcn,3,32,na,2,0.2921
Chameleon_L3_H64_epsna_s0,Chameleon,hfgcn,3,64,na,0,0.3371
Chameleon_L3_H64_epsna_s1,Chameleon,hfgcn,3,64,na,1,0.3371
Chameleon_L3_H64_epsna_s2,Chameleon,hfgcn,3,64,na,2,0.2697
Chameleon_L4_H16_epsna_s0,Chameleon,hfgcn,4,16,na,0,0.2921
Chameleon_L4_H16_epsna_s1,Chameleon,hfgcn,4,16,na,1,0.2360
Chameleon_L4_H16_epsna_s2,Chameleon,hfgcn,4,16,na,2,0.2809
Chameleon_L4_H32_epsna_s0,Chameleon,hfgcn,4,32,na,0,0.3483
Chameleon_L4_H32_epsna_s1,Chameleon,hfgcn,4,32,na,1,0.3371
Chameleon_L4_H32_epsna_s2,Chameleon,hfgcn,4,32,na,2,0.3034
Chameleon_L4_H64_epsna_s0,Chameleon,hfgcn,4,64,na,0,0.2697
Chameleon_L4_H64_epsna_s1,Chameleon,hfgcn,4,64,na,1,0.3483
Chameleon_L4_H64_epsna_s2,Chameleon,hfgcn,4,64,na,2,0.2247
CiteSeer_L2_H16_epsna_s0,CiteSeer,hfgcn,2,16,na,0,0.1557
CiteSeer_L2_H16_epsna_s1,CiteSeer,hfgcn,2,16,na,1,0.1976
CiteSeer_L2_H16_epsna_s2,CiteSeer,hfgcn,2,16,na,2,0.1707
CiteSeer_L2_H32_epsna_s0,CiteSeer,hfgcn,2,32,na,0,0.2066
CiteSeer_L2_H32_epsna_s1,CiteSeer,hfgcn,2,32,na,1,0.1946
CiteSeer_L2_H32_epsna_s2,CiteSeer,hfgcn,2,32,na,2,0.2186
CiteSeer_L2_H64_epsna_s0,CiteSeer,hfgcn,2,64,na,0,0.2246
CiteSeer_L2_H64_epsna_s1,CiteSeer,hfgcn,2,64,na,1,0.2126
CiteSeer_L2_H64_epsna_s2,CiteSeer,hfgcn,2,64,na,2,0.2006
CiteSeer_L3_H16_epsna_s0,CiteSeer,hfgcn,3,16,na,0,0.2006
CiteSeer_L3_H16_epsna_s1,CiteSeer,hfgcn,3,16,na,1,0.1647
CiteSeer_L3_H16_epsna_s2,CiteSeer,hfgcn,3,16,na,2,0.2006
CiteSeer_L3_H32_epsna_s0,CiteSeer,hfgcn,3,32,na,0,0.1946
CiteSeer_L3_H32_epsna_s1,CiteSeer,hfgcn,3,32,na,1,0.2096
CiteSeer_L3_H32_epsna_s2,CiteSeer,hfgcn,3,32,na,2,0.2335
CiteSeer_L3_H64_epsna_s0,CiteSeer,hfgcn,3,64,na,0,0.2365
CiteSeer_L3_H64_epsna_s1,CiteSeer,hfgcn,3,64,na,1,0.2275
CiteSeer_L3_H64_epsna_s2,CiteSeer,hfgcn,3,64,na,2,0.2186
CiteSeer_L4_H16_epsna_s0,CiteSeer,hfgcn,4,16,na,0,0.2096
CiteSeer_L4_H16_epsna_s1,CiteSeer,hfgcn,4,16,na,1,0.1557
CiteSeer_L4_H16_epsna_s2,CiteSeer,hfgcn,4,16,na,2,0.1587
CiteSeer_L4_H32_epsna_s0,CiteSeer,hfgcn,4,32,na,0,0.2186
CiteSeer_L4_H32_epsna_s1,CiteSeer,hfgcn,4,32,na,1,0.2485
CiteSeer_L4_H32_epsna_s2,CiteSeer,hfgcn,4,32,na,2,0.2275
CiteSeer_L4_H64_epsna_s0,CiteSeer,hfgcn,4,64,na,0,0.2096
CiteSeer_L4_H64_epsna_s1,CiteSeer,hfgcn,4,64,na,1,0.2335
