dataset,num_nodes,num_edges,num_features,num_classes,a,b,K,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,n_seeds,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Questions,48921,307080,301,2,-0.99,3.3099999999999987,4,0.9707277297973633,0.0001782136792225014,0.9723073661327362,0.00030655662247058553,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,3.4099999999999984,4,0.970645958185196,0.00033214318552350847,0.972491306066513,0.00022757990833337295,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,3.509999999999999,4,0.9708299398422241,0.00013088192570291074,0.972491306066513,0.00024524927175497563,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,3.6099999999999985,4,0.970584636926651,0.0002134337422820332,0.9722869336605072,0.00033206248045305055,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,3.709999999999999,4,0.9706868529319763,0.00010015666267569423,0.9721643149852752,0.00036329470277599415,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,3.8099999999999987,4,0.9706664025783539,0.0002285459430644676,0.972491306066513,0.00022757990833337298,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.99,3.9099999999999984,4,0.9706459462642669,0.00022763343473339133,0.9725526154041291,0.00018394589424133303,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.89,-0.99,4,0.970359742641449,0.0,0.971203738451004,6.131529808044434e-05,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.89,-0.89,4,0.970359742641449,0.0,0.9711628675460815,6.129741668701171e-05,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.89,-0.79,4,0.9702779889106751,0.00010012746248249433,0.9711424350738526,8.172988891601563e-05,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Questions,48921,307080,301,2,-0.89,-0.6900000000000001,4,0.9703393042087555,6.131529808044434e-05,0.9712241768836976,0.00012263059616088868,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
