dataset,num_nodes,num_edges,num_features,num_classes,a,b,K,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,n_seeds,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Physics,34493,495924,8415,5,-0.89,0.6099999999999997,4,0.970426219701767,0.00022459182175915988,0.9771884024143219,0.00036778779375079877,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,0.7099999999999997,4,0.9703972160816192,0.00043877167846156326,0.9771594166755676,0.0005469018250130566,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,0.8099999999999996,4,0.9707161545753479,0.000534616077631872,0.9772463738918304,0.0009547710513400905,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,0.9099999999999995,4,0.9704842031002044,0.0003846516010619858,0.976985502243042,0.0008320472307098248,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.0099999999999996,4,0.970368230342865,0.0005154092960303059,0.9766376733779907,0.0007580754362024652,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.1099999999999997,4,0.970252251625061,0.0005531701060584288,0.9762898445129394,0.00108299657403834,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.2099999999999993,4,0.9704262256622315,0.0007219401522061498,0.9770144879817962,0.0007996072110171591,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.3099999999999994,4,0.9705421984195709,0.000471096040129051,0.9770144879817962,0.00041094377143024985,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.4099999999999995,4,0.970600175857544,0.0005827633070982288,0.9770434737205506,0.0006189660017446074,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.5099999999999996,4,0.9704842031002044,0.0009058086247995174,0.9768985450267792,0.0009078599909454347,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.6099999999999997,4,0.9703392326831818,0.0007676619196365122,0.9771014451980591,0.0005185126578608263,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.7099999999999993,4,0.9698173403739929,0.0007036614472800212,0.9761739015579224,0.0008177883275641822,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.8099999999999994,4,0.9704842150211335,0.000515421366798334,0.9766956448554993,0.0009630945168821955,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,1.9099999999999995,4,0.9703392326831818,0.0008307733378008394,0.9765797019004822,0.001179545070216829,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.009999999999999,4,0.9702522575855255,0.0009457657618285941,0.9764057874679566,0.0012647883180015918,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.1099999999999994,4,0.9702232658863068,0.0008703049277120053,0.9764927446842193,0.0011184890134167426,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.209999999999999,4,0.9704842150211335,0.0005622160136257962,0.9769275307655334,0.0009365578814898168,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.3099999999999996,4,0.9703392446041107,0.0006988659064892032,0.9768985450267792,0.0005947376350342414,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.4099999999999993,4,0.970542186498642,0.0006378683179128587,0.9768695592880249,0.0009508029254355939,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.509999999999999,4,0.970020306110382,0.0007582933126629854,0.9759420156478882,0.001188061751719988,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.6099999999999994,4,0.9706001698970794,0.0008522417056051596,0.9770434737205506,0.0007646963080773497,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.709999999999999,4,0.9706871628761291,0.00045752511414589886,0.9770434737205506,0.0007076320643343092,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.8099999999999987,4,0.9704262256622315,0.0005021956973025009,0.9767246305942535,0.0008985579013824462,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,2.9099999999999993,4,0.9707161664962769,0.00018337845476442001,0.9768985450267792,0.0006087005138397216,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,3.009999999999999,4,0.9707161605358123,0.00031760991781805734,0.976985502243042,0.0005217432975769043,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,3.1099999999999985,4,0.9706291735172272,0.0006867352157645585,0.9768985450267792,0.0008603443833990849,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,3.209999999999999,4,0.9703102350234986,0.0009891960568552886,0.9767536163330078,0.0010107672482699535,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,3.3099999999999987,4,0.9701362729072571,0.0010209809396745995,0.9762318730354309,0.0010370253157216526,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,-0.89,3.4099999999999984,4,0.9705711960792541,0.0005539386734581143,0.9770144879817962,0.0005804389662173826,10,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
