dataset,num_nodes,num_edges,num_features,num_classes,K,a,b,seed,best_val_acc,best_test_acc,epochs_ran,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
CS,18333,163788,6805,15,4,-0.99,-0.3900000000000001,3,0.950900137424469,0.951744794845581,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.3900000000000001,4,0.9590834975242615,0.951744794845581,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.3900000000000001,5,0.9560829401016235,0.9539258480072021,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.3900000000000001,6,0.957446813583374,0.957197368144989,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.3900000000000001,7,0.9528095722198486,0.9541984796524048,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.3900000000000001,8,0.9569012522697449,0.9514721632003784,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.3900000000000001,9,0.954719066619873,0.952562689781189,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.29000000000000015,0,0.960174560546875,0.955561637878418,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.29000000000000015,1,0.9566285014152527,0.9558342695236206,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.29000000000000015,2,0.9541735053062439,0.9566521048545837,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.29000000000000015,3,0.950900137424469,0.9514721632003784,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.29000000000000015,4,0.9588106870651245,0.9509269595146179,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.29000000000000015,5,0.9577195644378662,0.9558342695236206,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
CS,18333,163788,6805,15,4,-0.99,-0.29000000000000015,6,0.9571740031242371,0.9580152630805969,390,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
