id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,2,0.7744,0.7748,99,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,3,0.7684,0.7673,114,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,4,0.7955,0.7688,113,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,5,0.7714,0.7703,107,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,6,0.7744,0.7703,132,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,7,0.7699,0.7583,92,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,8,0.7895,0.7853,95,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0005_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.001,0.0005,500,50,9,0.7489,0.7958,100,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,0,0.7729,0.7628,112,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,1,0.7729,0.7673,89,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,2,0.7699,0.7748,93,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,3,0.7639,0.7778,88,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s4,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,4,0.7895,0.7748,99,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s5,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,5,0.7714,0.7688,115,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s6,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,6,0.7714,0.7613,115,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s7,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,7,0.7699,0.7568,133,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s8,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,8,0.7925,0.7703,87,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0.0001_e500_p50_s9,CiteSeer,GPRGNN,4,64,0.001,0.0001,500,50,9,0.7504,0.7868,123,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s0,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,0,0.7699,0.7763,92,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s1,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,1,0.7684,0.7658,106,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s2,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,2,0.7744,0.7763,110,lr_wd_seed_batched
CiteSeer_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s3,CiteSeer,GPRGNN,4,64,0.001,0.0,500,50,3,0.7654,0.7568,153,lr_wd_seed_batched
