model,target,selector,mean_regret,median_regret,exact_match,mean_chosen_acc,mean_oracle_acc,folds
ALL,hidden,default,0.0036211538461538508,0.0,0.4807692307692308,0.6651083333333333,0.6687294871794871,52
ALL,hidden,homophily+slp,0.0061583333333333394,0.0,0.4807692307692308,0.6625711538461538,0.6687294871794871,52
ALL,hidden,slp,0.006169230769230774,0.0,0.46153846153846156,0.6625602564102564,0.6687294871794871,52
ALL,hidden,homophily,0.006573076923076935,0.0,0.5192307692307693,0.6621564102564103,0.6687294871794871,52
fagcn,hidden,default,0.002020512820512833,0.0,0.46153846153846156,0.7431487179487178,0.7451692307692308,13
fagcn,hidden,homophily+slp,0.005192307692307705,0.0,0.46153846153846156,0.7399769230769231,0.7451692307692308,13
fagcn,hidden,slp,0.005235897435897445,0.000500000000000056,0.38461538461538464,0.7399333333333332,0.7451692307692308,13
fagcn,hidden,homophily,0.006856410256410274,0.0022000000000000908,0.3076923076923077,0.7383128205128204,0.7451692307692308,13
gcn,hidden,homophily,0.0015897435897435897,0.0,0.38461538461538464,0.6548076923076922,0.6563974358974358,13
gcn,hidden,homophily+slp,0.002861538461538458,0.0001666666666666483,0.38461538461538464,0.6535358974358976,0.6563974358974358,13
gcn,hidden,slp,0.002861538461538458,0.0001666666666666483,0.38461538461538464,0.6535358974358976,0.6563974358974358,13
gcn,hidden,default,0.003566666666666658,0.0,0.38461538461538464,0.6528307692307693,0.6563974358974358,13
hfgcn,hidden,homophily+slp,0.006346153846153856,0.0,0.5384615384615384,0.5346846153846154,0.5410307692307692,13
hfgcn,hidden,slp,0.006346153846153856,0.0,0.5384615384615384,0.5346846153846154,0.5410307692307692,13
hfgcn,hidden,default,0.006641025641025644,0.0,0.6153846153846154,0.5343897435897437,0.5410307692307692,13
hfgcn,hidden,homophily,0.012448717948717974,0.0,0.5384615384615384,0.5285820512820513,0.5410307692307692,13
mlp,hidden,default,0.0022564102564102684,0.0,0.46153846153846156,0.7300641025641025,0.7323205128205128,13
mlp,hidden,homophily,0.005397435897435901,0.0,0.8461538461538461,0.7269230769230769,0.7323205128205128,13
mlp,hidden,homophily+slp,0.010233333333333337,0.0,0.5384615384615384,0.7220871794871795,0.7323205128205128,13
mlp,hidden,slp,0.010233333333333337,0.0,0.5384615384615384,0.7220871794871795,0.7323205128205128,13
