model,dataset,target,selector,source_dataset,oracle_value,chosen_value,oracle_config,chosen_config,oracle_acc,chosen_acc,regret,match
fagcn,CiteSeer,depth,homophily+slp,Cora,3,3,"(3, 32, '0.4')","(3, 32, '0.4')",0.7743000000000001,0.7743000000000001,0.0,True
fagcn,CiteSeer,hidden,default,,32,64,"(3, 32, '0.4')","(4, 64, '0.2')",0.7743000000000001,0.7738,0.000500000000000056,False
fagcn,CiteSeer,hidden,homophily,Computers,32,64,"(3, 32, '0.4')","(4, 64, '0.2')",0.7743000000000001,0.7738,0.000500000000000056,False
fagcn,CiteSeer,hidden,slp,Cora,32,16,"(3, 32, '0.4')","(2, 16, '0.4')",0.7743000000000001,0.7738,0.000500000000000056,False
fagcn,CiteSeer,hidden,homophily+slp,Cora,32,16,"(3, 32, '0.4')","(2, 16, '0.4')",0.7743000000000001,0.7738,0.000500000000000056,False
fagcn,CiteSeer,eps,default,,0.4,0.5,"(3, 32, '0.4')","(3, 32, '0.5')",0.7743000000000001,0.7738,0.000500000000000056,False
fagcn,CiteSeer,eps,homophily,Computers,0.4,0.3,"(3, 32, '0.4')","(2, 64, '0.3')",0.7743000000000001,0.7728,0.0015000000000000568,False
fagcn,CiteSeer,eps,slp,Cora,0.4,0.1,"(3, 32, '0.4')","(4, 64, '0.1')",0.7743000000000001,0.7718000000000002,0.0024999999999999467,False
fagcn,CiteSeer,eps,homophily+slp,Cora,0.4,0.1,"(3, 32, '0.4')","(4, 64, '0.1')",0.7743000000000001,0.7718000000000002,0.0024999999999999467,False
fagcn,Computers,full,default,,"(4, 64, '0.3')","(4, 64, '0.5')","(4, 64, '0.3')","(4, 64, '0.5')",0.9051333333333332,0.8983,0.006833333333333247,False
fagcn,Computers,full,homophily,CS,"(4, 64, '0.3')","(3, 64, '0.5')","(4, 64, '0.3')","(3, 64, '0.5')",0.9051333333333332,0.8999,0.005233333333333201,False
fagcn,Computers,full,slp,Photo,"(4, 64, '0.3')","(3, 64, '0.5')","(4, 64, '0.3')","(3, 64, '0.5')",0.9051333333333332,0.8999,0.005233333333333201,False
fagcn,Computers,full,homophily+slp,Photo,"(4, 64, '0.3')","(3, 64, '0.5')","(4, 64, '0.3')","(3, 64, '0.5')",0.9051333333333332,0.8999,0.005233333333333201,False
fagcn,Computers,depth,default,,4,4,"(4, 64, '0.3')","(4, 64, '0.3')",0.9051333333333332,0.9051333333333332,0.0,True
fagcn,Computers,depth,homophily,CS,4,3,"(4, 64, '0.3')","(3, 64, '0.5')",0.9051333333333332,0.8999,0.005233333333333201,False
fagcn,Computers,depth,slp,Photo,4,3,"(4, 64, '0.3')","(3, 64, '0.5')",0.9051333333333332,0.8999,0.005233333333333201,False
fagcn,Computers,depth,homophily+slp,Photo,4,3,"(4, 64, '0.3')","(3, 64, '0.5')",0.9051333333333332,0.8999,0.005233333333333201,False
fagcn,Computers,hidden,default,,64,64,"(4, 64, '0.3')","(4, 64, '0.3')",0.9051333333333332,0.9051333333333332,0.0,True
fagcn,Computers,hidden,homophily,CS,64,64,"(4, 64, '0.3')","(4, 64, '0.3')",0.9051333333333332,0.9051333333333332,0.0,True
fagcn,Computers,hidden,slp,Photo,64,64,"(4, 64, '0.3')","(4, 64, '0.3')",0.9051333333333332,0.9051333333333332,0.0,True
fagcn,Computers,hidden,homophily+slp,Photo,64,64,"(4, 64, '0.3')","(4, 64, '0.3')",0.9051333333333332,0.9051333333333332,0.0,True
fagcn,Computers,eps,default,,0.3,0.5,"(4, 64, '0.3')","(2, 64, '0.5')",0.9051333333333332,0.9006333333333334,0.0044999999999998375,False
fagcn,Computers,eps,homophily,CS,0.3,0.5,"(4, 64, '0.3')","(2, 64, '0.5')",0.9051333333333332,0.9006333333333334,0.0044999999999998375,False
fagcn,Computers,eps,slp,Photo,0.3,0.5,"(4, 64, '0.3')","(2, 64, '0.5')",0.9051333333333332,0.9006333333333334,0.0044999999999998375,False
fagcn,Computers,eps,homophily+slp,Photo,0.3,0.5,"(4, 64, '0.3')","(2, 64, '0.5')",0.9051333333333332,0.9006333333333334,0.0044999999999998375,False
fagcn,Cora,full,default,,"(3, 16, '0.1')","(4, 64, '0.5')","(3, 16, '0.1')","(4, 64, '0.5')",0.8932000000000001,0.8747666666666666,0.018433333333333524,False
fagcn,Cora,full,homophily,Photo,"(3, 16, '0.1')","(3, 64, '0.5')","(3, 16, '0.1')","(3, 64, '0.5')",0.8932000000000001,0.8772333333333333,0.015966666666666796,False
fagcn,Cora,full,slp,CiteSeer,"(3, 16, '0.1')","(3, 32, '0.4')","(3, 16, '0.1')","(3, 32, '0.4')",0.8932000000000001,0.8778333333333332,0.015366666666666862,False
fagcn,Cora,full,homophily+slp,CiteSeer,"(3, 16, '0.1')","(3, 32, '0.4')","(3, 16, '0.1')","(3, 32, '0.4')",0.8932000000000001,0.8778333333333332,0.015366666666666862,False
fagcn,Cora,depth,default,,3,4,"(3, 16, '0.1')","(4, 32, '0.3')",0.8932000000000001,0.8882666666666666,0.004933333333333456,False
fagcn,Cora,depth,homophily,Photo,3,3,"(3, 16, '0.1')","(3, 16, '0.1')",0.8932000000000001,0.8932000000000001,0.0,True
fagcn,Cora,depth,slp,CiteSeer,3,3,"(3, 16, '0.1')","(3, 16, '0.1')",0.8932000000000001,0.8932000000000001,0.0,True
fagcn,Cora,depth,homophily+slp,CiteSeer,3,3,"(3, 16, '0.1')","(3, 16, '0.1')",0.8932000000000001,0.8932000000000001,0.0,True
fagcn,Cora,hidden,default,,16,64,"(3, 16, '0.1')","(3, 64, '0.1')",0.8932000000000001,0.8895,0.0037000000000001476,False
fagcn,Cora,hidden,homophily,Photo,16,64,"(3, 16, '0.1')","(3, 64, '0.1')",0.8932000000000001,0.8895,0.0037000000000001476,False
fagcn,Cora,hidden,slp,CiteSeer,16,32,"(3, 16, '0.1')","(3, 32, '0.2')",0.8932000000000001,0.8889,0.0043000000000000815,False
fagcn,Cora,hidden,homophily+slp,CiteSeer,16,32,"(3, 16, '0.1')","(3, 32, '0.2')",0.8932000000000001,0.8889,0.0043000000000000815,False
fagcn,Cora,eps,default,,0.1,0.5,"(3, 16, '0.1')","(3, 16, '0.5')",0.8932000000000001,0.8870666666666667,0.006133333333333435,False
fagcn,Cora,eps,homophily,Photo,0.1,0.5,"(3, 16, '0.1')","(3, 16, '0.5')",0.8932000000000001,0.8870666666666667,0.006133333333333435,False
fagcn,Cora,eps,slp,CiteSeer,0.1,0.4,"(3, 16, '0.1')","(3, 16, '0.4')",0.8932000000000001,0.8882666666666666,0.004933333333333456,False
fagcn,Cora,eps,homophily+slp,CiteSeer,0.1,0.4,"(3, 16, '0.1')","(3, 16, '0.4')",0.8932000000000001,0.8882666666666666,0.004933333333333456,False
fagcn,Cornell,full,default,,"(4, 64, '0.5')","(2, 64, '0.5')","(4, 64, '0.5')","(2, 64, '0.5')",0.8158,0.7281,0.0877,False
fagcn,Cornell,full,homophily,Actor,"(4, 64, '0.5')","(3, 32, '0.5')","(4, 64, '0.5')","(3, 32, '0.5')",0.8158,0.7719333333333332,0.04386666666666672,False
fagcn,Cornell,full,slp,Actor,"(4, 64, '0.5')","(3, 32, '0.5')","(4, 64, '0.5')","(3, 32, '0.5')",0.8158,0.7719333333333332,0.04386666666666672,False
fagcn,Cornell,full,homophily+slp,Actor,"(4, 64, '0.5')","(3, 32, '0.5')","(4, 64, '0.5')","(3, 32, '0.5')",0.8158,0.7719333333333332,0.04386666666666672,False
fagcn,Cornell,depth,default,,4,4,"(4, 64, '0.5')","(4, 64, '0.5')",0.8158,0.8158,0.0,True
fagcn,Cornell,depth,homophily,Actor,4,3,"(4, 64, '0.5')","(3, 32, '0.4')",0.8158,0.7807,0.03510000000000002,False
fagcn,Cornell,depth,slp,Actor,4,3,"(4, 64, '0.5')","(3, 32, '0.4')",0.8158,0.7807,0.03510000000000002,False
fagcn,Cornell,depth,homophily+slp,Actor,4,3,"(4, 64, '0.5')","(3, 32, '0.4')",0.8158,0.7807,0.03510000000000002,False
fagcn,Cornell,hidden,default,,64,64,"(4, 64, '0.5')","(4, 64, '0.5')",0.8158,0.8158,0.0,True
fagcn,Cornell,hidden,homophily,Actor,64,32,"(4, 64, '0.5')","(2, 32, '0.5')",0.8158,0.7982333333333332,0.01756666666666673,False
fagcn,Cornell,hidden,slp,Actor,64,32,"(4, 64, '0.5')","(2, 32, '0.5')",0.8158,0.7982333333333332,0.01756666666666673,False
fagcn,Cornell,hidden,homophily+slp,Actor,64,32,"(4, 64, '0.5')","(2, 32, '0.5')",0.8158,0.7982333333333332,0.01756666666666673,False
fagcn,Cornell,eps,default,,0.5,0.5,"(4, 64, '0.5')","(4, 64, '0.5')",0.8158,0.8158,0.0,True
fagcn,Cornell,eps,homophily,Actor,0.5,0.5,"(4, 64, '0.5')","(4, 64, '0.5')",0.8158,0.8158,0.0,True
fagcn,Cornell,eps,slp,Actor,0.5,0.5,"(4, 64, '0.5')","(4, 64, '0.5')",0.8158,0.8158,0.0,True
fagcn,Cornell,eps,homophily+slp,Actor,0.5,0.5,"(4, 64, '0.5')","(4, 64, '0.5')",0.8158,0.8158,0.0,True
fagcn,Minesweeper,full,default,,"(2, 16, '0.3')","(4, 64, '0.5')","(2, 16, '0.3')","(4, 64, '0.5')",0.7976666666666666,0.7951666666666667,0.0024999999999999467,False
fagcn,Minesweeper,full,homophily,Tolokers,"(2, 16, '0.3')","(4, 16, '0.2')","(2, 16, '0.3')","(4, 16, '0.2')",0.7976666666666666,0.7951666666666667,0.0024999999999999467,False
fagcn,Minesweeper,full,slp,Tolokers,"(2, 16, '0.3')","(4, 16, '0.2')","(2, 16, '0.3')","(4, 16, '0.2')",0.7976666666666666,0.7951666666666667,0.0024999999999999467,False
fagcn,Minesweeper,full,homophily+slp,Tolokers,"(2, 16, '0.3')","(4, 16, '0.2')","(2, 16, '0.3')","(4, 16, '0.2')",0.7976666666666666,0.7951666666666667,0.0024999999999999467,False
fagcn,Minesweeper,depth,default,,2,4,"(2, 16, '0.3')","(4, 32, '0.5')",0.7976666666666666,0.7953333333333333,0.0023333333333332984,False
fagcn,Minesweeper,depth,homophily,Tolokers,2,4,"(2, 16, '0.3')","(4, 32, '0.5')",0.7976666666666666,0.7953333333333333,0.0023333333333332984,False
fagcn,Minesweeper,depth,slp,Tolokers,2,4,"(2, 16, '0.3')","(4, 32, '0.5')",0.7976666666666666,0.7953333333333333,0.0023333333333332984,False
fagcn,Minesweeper,depth,homophily+slp,Tolokers,2,4,"(2, 16, '0.3')","(4, 32, '0.5')",0.7976666666666666,0.7953333333333333,0.0023333333333332984,False
fagcn,Minesweeper,hidden,default,,16,64,"(2, 16, '0.3')","(2, 64, '0.1')",0.7976666666666666,0.7951666666666667,0.0024999999999999467,False
fagcn,Minesweeper,hidden,homophily,Tolokers,16,16,"(2, 16, '0.3')","(2, 16, '0.3')",0.7976666666666666,0.7976666666666666,0.0,True
fagcn,Minesweeper,hidden,slp,Tolokers,16,16,"(2, 16, '0.3')","(2, 16, '0.3')",0.7976666666666666,0.7976666666666666,0.0,True
fagcn,Minesweeper,hidden,homophily+slp,Tolokers,16,16,"(2, 16, '0.3')","(2, 16, '0.3')",0.7976666666666666,0.7976666666666666,0.0,True
fagcn,Minesweeper,eps,default,,0.3,0.5,"(2, 16, '0.3')","(2, 16, '0.5')",0.7976666666666666,0.7956666666666666,0.0020000000000000018,False
fagcn,Minesweeper,eps,homophily,Tolokers,0.3,0.2,"(2, 16, '0.3')","(2, 16, '0.2')",0.7976666666666666,0.7951666666666667,0.0024999999999999467,False
fagcn,Minesweeper,eps,slp,Tolokers,0.3,0.2,"(2, 16, '0.3')","(2, 16, '0.2')",0.7976666666666666,0.7951666666666667,0.0024999999999999467,False
fagcn,Minesweeper,eps,homophily+slp,Tolokers,0.3,0.2,"(2, 16, '0.3')","(2, 16, '0.2')",0.7976666666666666,0.7951666666666667,0.0024999999999999467,False
fagcn,Photo,full,default,,"(3, 64, '0.5')","(4, 64, '0.5')","(3, 64, '0.5')","(4, 64, '0.5')",0.9505333333333333,0.9370666666666666,0.013466666666666738,False
fagcn,Photo,full,homophily,Cora,"(3, 64, '0.5')","(3, 16, '0.1')","(3, 64, '0.5')","(3, 16, '0.1')",0.9505333333333333,0.9093666666666667,0.041166666666666685,False
fagcn,Photo,full,slp,Computers,"(3, 64, '0.5')","(4, 64, '0.3')","(3, 64, '0.5')","(4, 64, '0.3')",0.9505333333333333,0.9460000000000001,0.004533333333333278,False
fagcn,Photo,full,homophily+slp,CS,"(3, 64, '0.5')","(3, 64, '0.5')","(3, 64, '0.5')","(3, 64, '0.5')",0.9505333333333333,0.9505333333333333,0.0,True
fagcn,Photo,depth,default,,3,4,"(3, 64, '0.5')","(4, 64, '0.3')",0.9505333333333333,0.9460000000000001,0.004533333333333278,False
fagcn,Photo,depth,homophily,Cora,3,3,"(3, 64, '0.5')","(3, 64, '0.5')",0.9505333333333333,0.9505333333333333,0.0,True
fagcn,Photo,depth,slp,Computers,3,4,"(3, 64, '0.5')","(4, 64, '0.3')",0.9505333333333333,0.9460000000000001,0.004533333333333278,False
fagcn,Photo,depth,homophily+slp,CS,3,3,"(3, 64, '0.5')","(3, 64, '0.5')",0.9505333333333333,0.9505333333333333,0.0,True
fagcn,Photo,hidden,default,,64,64,"(3, 64, '0.5')","(3, 64, '0.5')",0.9505333333333333,0.9505333333333333,0.0,True
fagcn,Photo,hidden,homophily,Cora,64,16,"(3, 64, '0.5')","(2, 16, '0.4')",0.9505333333333333,0.9331333333333333,0.017400000000000082,False
fagcn,Photo,hidden,slp,Computers,64,64,"(3, 64, '0.5')","(3, 64, '0.5')",0.9505333333333333,0.9505333333333333,0.0,True
fagcn,Photo,hidden,homophily+slp,CS,64,64,"(3, 64, '0.5')","(3, 64, '0.5')",0.9505333333333333,0.9505333333333333,0.0,True
fagcn,Photo,eps,default,,0.5,0.5,"(3, 64, '0.5')","(3, 64, '0.5')",0.9505333333333333,0.9505333333333333,0.0,True
fagcn,Photo,eps,homophily,Cora,0.5,0.1,"(3, 64, '0.5')","(3, 32, '0.1')",0.9505333333333333,0.9357000000000001,0.014833333333333254,False
fagcn,Photo,eps,slp,Computers,0.5,0.3,"(3, 64, '0.5')","(4, 64, '0.3')",0.9505333333333333,0.9460000000000001,0.004533333333333278,False
fagcn,Photo,eps,homophily+slp,CS,0.5,0.5,"(3, 64, '0.5')","(3, 64, '0.5')",0.9505333333333333,0.9505333333333333,0.0,True
fagcn,Squirrel,full,default,,"(2, 64, '0.5')","(4, 64, '0.5')","(2, 64, '0.5')","(4, 64, '0.5')",0.3711333333333333,0.33876666666666666,0.032366666666666655,False
fagcn,Squirrel,full,homophily,Wisconsin,"(2, 64, '0.5')","(4, 64, '0.5')","(2, 64, '0.5')","(4, 64, '0.5')",0.3711333333333333,0.33876666666666666,0.032366666666666655,False
fagcn,Squirrel,full,slp,Cornell,"(2, 64, '0.5')","(4, 64, '0.5')","(2, 64, '0.5')","(4, 64, '0.5')",0.3711333333333333,0.33876666666666666,0.032366666666666655,False
fagcn,Squirrel,full,homophily+slp,Cornell,"(2, 64, '0.5')","(4, 64, '0.5')","(2, 64, '0.5')","(4, 64, '0.5')",0.3711333333333333,0.33876666666666666,0.032366666666666655,False
fagcn,Squirrel,depth,default,,2,4,"(2, 64, '0.5')","(4, 32, '0.4')",0.3711333333333333,0.3701666666666667,0.0009666666666666157,False
fagcn,Squirrel,depth,homophily,Wisconsin,2,4,"(2, 64, '0.5')","(4, 32, '0.4')",0.3711333333333333,0.3701666666666667,0.0009666666666666157,False
fagcn,Squirrel,depth,slp,Cornell,2,4,"(2, 64, '0.5')","(4, 32, '0.4')",0.3711333333333333,0.3701666666666667,0.0009666666666666157,False
fagcn,Squirrel,depth,homophily+slp,Cornell,2,4,"(2, 64, '0.5')","(4, 32, '0.4')",0.3711333333333333,0.3701666666666667,0.0009666666666666157,False
fagcn,Squirrel,hidden,default,,64,64,"(2, 64, '0.5')","(2, 64, '0.5')",0.3711333333333333,0.3711333333333333,0.0,True
fagcn,Squirrel,hidden,homophily,Wisconsin,64,64,"(2, 64, '0.5')","(2, 64, '0.5')",0.3711333333333333,0.3711333333333333,0.0,True
fagcn,Squirrel,hidden,slp,Cornell,64,64,"(2, 64, '0.5')","(2, 64, '0.5')",0.3711333333333333,0.3711333333333333,0.0,True
fagcn,Squirrel,hidden,homophily+slp,Cornell,64,64,"(2, 64, '0.5')","(2, 64, '0.5')",0.3711333333333333,0.3711333333333333,0.0,True
fagcn,Squirrel,eps,default,,0.5,0.5,"(2, 64, '0.5')","(2, 64, '0.5')",0.3711333333333333,0.3711333333333333,0.0,True
fagcn,Squirrel,eps,homophily,Wisconsin,0.5,0.5,"(2, 64, '0.5')","(2, 64, '0.5')",0.3711333333333333,0.3711333333333333,0.0,True
fagcn,Squirrel,eps,slp,Cornell,0.5,0.5,"(2, 64, '0.5')","(2, 64, '0.5')",0.3711333333333333,0.3711333333333333,0.0,True
fagcn,Squirrel,eps,homophily+slp,Cornell,0.5,0.5,"(2, 64, '0.5')","(2, 64, '0.5')",0.3711333333333333,0.3711333333333333,0.0,True
fagcn,Texas,full,default,,"(4, 32, '0.5')","(4, 64, '0.5')","(4, 32, '0.5')","(4, 64, '0.5')",0.7456333333333333,0.7456333333333333,0.0,False
fagcn,Texas,full,homophily,Cornell,"(4, 32, '0.5')","(4, 64, '0.5')","(4, 32, '0.5')","(4, 64, '0.5')",0.7456333333333333,0.7456333333333333,0.0,False
fagcn,Texas,full,slp,Wisconsin,"(4, 32, '0.5')","(4, 64, '0.5')","(4, 32, '0.5')","(4, 64, '0.5')",0.7456333333333333,0.7456333333333333,0.0,False
fagcn,Texas,full,homophily+slp,Wisconsin,"(4, 32, '0.5')","(4, 64, '0.5')","(4, 32, '0.5')","(4, 64, '0.5')",0.7456333333333333,0.7456333333333333,0.0,False
fagcn,Texas,depth,default,,4,4,"(4, 32, '0.5')","(4, 32, '0.5')",0.7456333333333333,0.7456333333333333,0.0,True
fagcn,Texas,depth,homophily,Cornell,4,4,"(4, 32, '0.5')","(4, 32, '0.5')",0.7456333333333333,0.7456333333333333,0.0,True
fagcn,Texas,depth,slp,Wisconsin,4,4,"(4, 32, '0.5')","(4, 32, '0.5')",0.7456333333333333,0.7456333333333333,0.0,True
fagcn,Texas,depth,homophily+slp,Wisconsin,4,4,"(4, 32, '0.5')","(4, 32, '0.5')",0.7456333333333333,0.7456333333333333,0.0,True
