dataset,num_nodes,num_edges,num_features,num_classes,K,a,b,seed,best_val_acc,best_test_acc,epochs_ran,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
Physics,34493,495924,8415,5,10,-0.99,-0.6900000000000001,5,0.9669469594955444,0.9671014547348022,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.6900000000000001,6,0.9685416221618652,0.969420313835144,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.6900000000000001,7,0.968251645565033,0.9665217399597168,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.6900000000000001,8,0.9659321308135986,0.9688405990600586,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.6900000000000001,9,0.96970134973526,0.9679710268974304,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,0,0.9656422138214111,0.9708695411682129,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,1,0.9685416221618652,0.9660869836807251,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,2,0.9708611369132996,0.9665217399597168,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,3,0.9670919179916382,0.9666666388511658,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,4,0.9649173617362976,0.9655072689056396,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,5,0.9670919179916382,0.9668115973472595,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,6,0.968686580657959,0.9691304564476013,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,7,0.9678167700767517,0.9666666388511658,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,8,0.9662221074104309,0.969420313835144,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
Physics,34493,495924,8415,5,10,-0.99,-0.5900000000000001,9,0.96970134973526,0.9669564962387085,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
