id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
Actor_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s1,Actor,GPRGNN,4,64,0.001,0.0,500,50,1,0.3355,0.3092,92,lr_wd_seed_batched
Actor_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s2,Actor,GPRGNN,4,64,0.001,0.0,500,50,2,0.3066,0.3408,124,lr_wd_seed_batched
Actor_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s3,Actor,GPRGNN,4,64,0.001,0.0,500,50,3,0.3118,0.3461,105,lr_wd_seed_batched
Actor_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s4,Actor,GPRGNN,4,64,0.001,0.0,500,50,4,0.3145,0.3316,169,lr_wd_seed_batched
Actor_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s5,Actor,GPRGNN,4,64,0.001,0.0,500,50,5,0.3368,0.3447,157,lr_wd_seed_batched
Actor_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s6,Actor,GPRGNN,4,64,0.001,0.0,500,50,6,0.3263,0.3329,154,lr_wd_seed_batched
Actor_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s7,Actor,GPRGNN,4,64,0.001,0.0,500,50,7,0.3316,0.3355,130,lr_wd_seed_batched
Actor_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s8,Actor,GPRGNN,4,64,0.001,0.0,500,50,8,0.3329,0.3395,120,lr_wd_seed_batched
Actor_GPRGNN_K4_H64_lr0.001_wd0_e500_p50_s9,Actor,GPRGNN,4,64,0.001,0.0,500,50,9,0.3197,0.3474,163,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s0,Actor,GPRGNN,4,128,0.01,0.0005,500,50,0,0.3697,0.3974,169,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s1,Actor,GPRGNN,4,128,0.01,0.0005,500,50,1,0.3711,0.3974,170,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s2,Actor,GPRGNN,4,128,0.01,0.0005,500,50,2,0.3724,0.3908,163,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s3,Actor,GPRGNN,4,128,0.01,0.0005,500,50,3,0.3724,0.4158,149,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s4,Actor,GPRGNN,4,128,0.01,0.0005,500,50,4,0.3711,0.4039,122,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s5,Actor,GPRGNN,4,128,0.01,0.0005,500,50,5,0.3763,0.3776,264,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s6,Actor,GPRGNN,4,128,0.01,0.0005,500,50,6,0.3697,0.3947,169,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s7,Actor,GPRGNN,4,128,0.01,0.0005,500,50,7,0.3671,0.4013,165,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s8,Actor,GPRGNN,4,128,0.01,0.0005,500,50,8,0.3724,0.3697,132,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s9,Actor,GPRGNN,4,128,0.01,0.0005,500,50,9,0.3671,0.3974,176,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s0,Actor,GPRGNN,4,128,0.01,0.0001,500,50,0,0.3724,0.4000,166,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s1,Actor,GPRGNN,4,128,0.01,0.0001,500,50,1,0.3618,0.3803,129,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s2,Actor,GPRGNN,4,128,0.01,0.0001,500,50,2,0.3711,0.3882,239,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s3,Actor,GPRGNN,4,128,0.01,0.0001,500,50,3,0.3513,0.3750,106,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s4,Actor,GPRGNN,4,128,0.01,0.0001,500,50,4,0.3592,0.3895,133,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s5,Actor,GPRGNN,4,128,0.01,0.0001,500,50,5,0.3632,0.3934,168,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s6,Actor,GPRGNN,4,128,0.01,0.0001,500,50,6,0.3658,0.3961,189,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s7,Actor,GPRGNN,4,128,0.01,0.0001,500,50,7,0.3684,0.3934,138,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s8,Actor,GPRGNN,4,128,0.01,0.0001,500,50,8,0.3632,0.3895,128,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s9,Actor,GPRGNN,4,128,0.01,0.0001,500,50,9,0.3618,0.3789,127,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s0,Actor,GPRGNN,4,128,0.01,0.0,500,50,0,0.3539,0.3895,134,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s1,Actor,GPRGNN,4,128,0.01,0.0,500,50,1,0.3421,0.3803,93,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s2,Actor,GPRGNN,4,128,0.01,0.0,500,50,2,0.3539,0.3711,96,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s3,Actor,GPRGNN,4,128,0.01,0.0,500,50,3,0.3566,0.3816,146,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s4,Actor,GPRGNN,4,128,0.01,0.0,500,50,4,0.3526,0.3658,101,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s5,Actor,GPRGNN,4,128,0.01,0.0,500,50,5,0.3605,0.3737,176,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s6,Actor,GPRGNN,4,128,0.01,0.0,500,50,6,0.3487,0.3842,135,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s7,Actor,GPRGNN,4,128,0.01,0.0,500,50,7,0.3645,0.3724,198,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s8,Actor,GPRGNN,4,128,0.01,0.0,500,50,8,0.3579,0.3947,183,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s9,Actor,GPRGNN,4,128,0.01,0.0,500,50,9,0.3658,0.3789,110,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s0,Actor,GPRGNN,4,128,0.005,0.0005,500,50,0,0.3671,0.3934,289,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s1,Actor,GPRGNN,4,128,0.005,0.0005,500,50,1,0.3566,0.3645,158,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s2,Actor,GPRGNN,4,128,0.005,0.0005,500,50,2,0.3605,0.3895,233,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s3,Actor,GPRGNN,4,128,0.005,0.0005,500,50,3,0.3592,0.4079,171,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s4,Actor,GPRGNN,4,128,0.005,0.0005,500,50,4,0.3513,0.3763,127,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s5,Actor,GPRGNN,4,128,0.005,0.0005,500,50,5,0.3487,0.3658,149,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s6,Actor,GPRGNN,4,128,0.005,0.0005,500,50,6,0.3316,0.3289,56,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s7,Actor,GPRGNN,4,128,0.005,0.0005,500,50,7,0.3355,0.3553,120,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s8,Actor,GPRGNN,4,128,0.005,0.0005,500,50,8,0.3526,0.3842,180,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s9,Actor,GPRGNN,4,128,0.005,0.0005,500,50,9,0.3526,0.3605,162,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s0,Actor,GPRGNN,4,128,0.005,0.0001,500,50,0,0.3566,0.3816,218,lr_wd_seed_batched
Actor_GPRGNN_K4_H128_lr0.005_wd0.0001_e500_p50_s1,Actor,GPRGNN,4,128,0.005,0.0001,500,50,1,0.3263,0.3329,68,lr_wd_seed_batched
