id,dataset,model,depth,hidden,eps,seed,test_acc
Photo_L2_H32_eps0.1_s0,Photo,fagcn,2,32,0.1,0,0.9072
Photo_L2_H32_eps0.1_s1,Photo,fagcn,2,32,0.1,1,0.9163
Photo_L2_H32_eps0.1_s2,Photo,fagcn,2,32,0.1,2,0.9229
Photo_L2_H32_eps0.2_s0,Photo,fagcn,2,32,0.2,0,0.8758
Photo_L2_H32_eps0.2_s1,Photo,fagcn,2,32,0.2,1,0.9124
Photo_L2_H32_eps0.2_s2,Photo,fagcn,2,32,0.2,2,0.9359
Photo_L2_H32_eps0.3_s0,Photo,fagcn,2,32,0.3,0,0.9320
Photo_L2_H32_eps0.3_s1,Photo,fagcn,2,32,0.3,1,0.9255
Photo_L2_H32_eps0.3_s2,Photo,fagcn,2,32,0.3,2,0.9373
Photo_L2_H32_eps0.4_s0,Photo,fagcn,2,32,0.4,0,0.9359
Photo_L2_H32_eps0.4_s1,Photo,fagcn,2,32,0.4,1,0.9359
Photo_L2_H32_eps0.4_s2,Photo,fagcn,2,32,0.4,2,0.9399
Photo_L2_H32_eps0.5_s0,Photo,fagcn,2,32,0.5,0,0.8889
Photo_L2_H32_eps0.5_s1,Photo,fagcn,2,32,0.5,1,0.9203
Photo_L2_H32_eps0.5_s2,Photo,fagcn,2,32,0.5,2,0.9333
Photo_L2_H64_eps0.1_s0,Photo,fagcn,2,64,0.1,0,0.8941
Photo_L2_H64_eps0.1_s1,Photo,fagcn,2,64,0.1,1,0.8732
Photo_L2_H64_eps0.1_s2,Photo,fagcn,2,64,0.1,2,0.9281
Photo_L2_H64_eps0.2_s0,Photo,fagcn,2,64,0.2,0,0.9346
Photo_L2_H64_eps0.2_s1,Photo,fagcn,2,64,0.2,1,0.9046
Photo_L2_H64_eps0.2_s2,Photo,fagcn,2,64,0.2,2,0.9373
Photo_L2_H64_eps0.3_s0,Photo,fagcn,2,64,0.3,0,0.9503
Photo_L2_H64_eps0.3_s1,Photo,fagcn,2,64,0.3,1,0.9386
Photo_L2_H64_eps0.3_s2,Photo,fagcn,2,64,0.3,2,0.9438
Photo_L2_H64_eps0.4_s0,Photo,fagcn,2,64,0.4,0,0.9333
Photo_L2_H64_eps0.4_s1,Photo,fagcn,2,64,0.4,1,0.9359
Photo_L2_H64_eps0.4_s2,Photo,fagcn,2,64,0.4,2,0.9425
Photo_L2_H64_eps0.5_s0,Photo,fagcn,2,64,0.5,0,0.9399
