dataset,num_nodes,num_edges,num_features,num_classes,K,a,b,seed,best_val_acc,best_test_acc,epochs_ran,lr,weight_decay,dropout,dprate,patience,max_epochs,parallel_mode
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,8,0.6797881722450256,0.6786092519760132,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.6900000000000001,9,0.6854369044303894,0.6741969585418701,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,0,0.6875551342964172,0.6872573494911194,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,1,0.6909090876579285,0.6966113448143005,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,2,0.6847308278083801,0.6830215454101562,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,3,0.6864960193634033,0.6904341578483582,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,4,0.6891438364982605,0.6812565922737122,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,5,0.6852603554725647,0.6900811791419983,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,6,0.6896734237670898,0.6840804815292358,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,7,0.6813768744468689,0.683551013469696,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,8,0.6824359893798828,0.6810801029205322,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.5900000000000001,9,0.6870256066322327,0.6750794053077698,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,0,0.6926743388175964,0.692728579044342,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,1,0.6887907981872559,0.6897282004356384,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,2,0.6854369044303894,0.6853159070014954,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,3,0.6912621259689331,0.6939640045166016,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,4,0.6916151642799377,0.686374843120575,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,5,0.6896734237670898,0.6948464512825012,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,6,0.6898499727249146,0.6858453750610352,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,7,0.6829655766487122,0.6854923963546753,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,8,0.6923213005065918,0.6932580471038818,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.4900000000000001,9,0.6905560493469238,0.6766678690910339,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,0,0.6965578198432922,0.6992587447166443,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,1,0.6939100027084351,0.6930815577507019,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,2,0.6873786449432373,0.686374843120575,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,3,0.6944395303726196,0.6957288980484009,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,4,0.6946160793304443,0.6911401152610779,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,5,0.6884377598762512,0.6946699619293213,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,6,0.6879082322120667,0.6879633069038391,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
RomanEmpire,22662,65854,300,18,4,-0.99,-0.3900000000000001,7,0.6826125383377075,0.6877868175506592,500,0.01,0.0005,0.5,0.0,50,500,seed_config_batched
